"";"inst_all";"V2"
"534";"https://openalex.org/I12450925";12
"535";"https://openalex.org/I124600578";3
"536";"https://openalex.org/I124601658";11
"537";"https://openalex.org/I124633538";11
"538";"https://openalex.org/I12469534";35
"539";"https://openalex.org/I124727415";15
"540";"https://openalex.org/I124793430";2
"541";"https://openalex.org/I124841900";14
"542";"https://openalex.org/I124866261";18
"543";"https://openalex.org/I124938932";42
"544";"https://openalex.org/I124984720";1
"545";"https://openalex.org/I125068653";7
"546";"https://openalex.org/I12509574";13
"547";"https://openalex.org/I125101497";45
"548";"https://openalex.org/I12524447";4
"549";"https://openalex.org/I125392429";1
"550";"https://openalex.org/I125454184";18
"551";"https://openalex.org/I125467818";2
"552";"https://openalex.org/I125485651";6
"553";"https://openalex.org/I125528314";1
"554";"https://openalex.org/I12553626";28
"555";"https://openalex.org/I125656591";8
"556";"https://openalex.org/I125749732";19
"557";"https://openalex.org/I125839683";87
"558";"https://openalex.org/I125852741";4
"559";"https://openalex.org/I125904092";9
"560";"https://openalex.org/I125932930";1
"561";"https://openalex.org/I125934054";7
"562";"https://openalex.org/I125956826";5
"563";"https://openalex.org/I126131087";4
"564";"https://openalex.org/I126145234";58
"565";"https://openalex.org/I12615008";22
"566";"https://openalex.org/I126158947";16
"567";"https://openalex.org/I126193024";14
"568";"https://openalex.org/I126231945";34
"569";"https://openalex.org/I126307644";9
"570";"https://openalex.org/I126345244";27
"571";"https://openalex.org/I126350171";2
"572";"https://openalex.org/I126406834";15
"573";"https://openalex.org/I126419327";5
"574";"https://openalex.org/I126427551";9
"575";"https://openalex.org/I126460647";5
"576";"https://openalex.org/I126477371";51
"577";"https://openalex.org/I12649496";14
"578";"https://openalex.org/I126520041";51
"579";"https://openalex.org/I126527374";70
"580";"https://openalex.org/I126533617";3
"581";"https://openalex.org/I126541806";10
"582";"https://openalex.org/I126548940";2
"583";"https://openalex.org/I126595936";15
"584";"https://openalex.org/I126596746";94
"585";"https://openalex.org/I126601174";1
"586";"https://openalex.org/I126683464";2
"587";"https://openalex.org/I126820664";6
"588";"https://openalex.org/I126826664";905
"589";"https://openalex.org/I12685407";3
"590";"https://openalex.org/I126860399";11
"591";"https://openalex.org/I126863827";4
"592";"https://openalex.org/I126924076";21
"593";"https://openalex.org/I12700597";18
"594";"https://openalex.org/I127019355";3
"595";"https://openalex.org/I127077003";6
"596";"https://openalex.org/I127108677";5
"597";"https://openalex.org/I127110123";10
"598";"https://openalex.org/I127165138";10
"599";"https://openalex.org/I127206278";3
"600";"https://openalex.org/I127251866";7
"601";"https://openalex.org/I127317711";18
"602";"https://openalex.org/I127328727";1
"603";"https://openalex.org/I127336678";5
"604";"https://openalex.org/I127339247";3
"605";"https://openalex.org/I127339705";1
"606";"https://openalex.org/I127362389";24
"607";"https://openalex.org/I127366699";3
"608";"https://openalex.org/I127432735";4
"609";"https://openalex.org/I12754707";33
"610";"https://openalex.org/I127591826";7
"611";"https://openalex.org/I127670440";31
"612";"https://openalex.org/I127727965";5
"613";"https://openalex.org/I127859547";81
"614";"https://openalex.org/I12789410";7
"615";"https://openalex.org/I127927624";14
"616";"https://openalex.org/I1279696364";2
"617";"https://openalex.org/I1279799976";1
"618";"https://openalex.org/I1279858714";3
"619";"https://openalex.org/I1280179531";1
"620";"https://openalex.org/I1280527723";1
"621";"https://openalex.org/I1280640908";3
"622";"https://openalex.org/I1280822658";1
"623";"https://openalex.org/I1281109512";1
"624";"https://openalex.org/I1281210470";9
"625";"https://openalex.org/I1281260935";1
"626";"https://openalex.org/I1281802846";3
"627";"https://openalex.org/I1281928559";2
"628";"https://openalex.org/I128193699";10
"629";"https://openalex.org/I1282368058";1
"630";"https://openalex.org/I1282462722";4
"631";"https://openalex.org/I1282700336";8
"632";"https://openalex.org/I128277893";26
"633";"https://openalex.org/I1282927834";1
"634";"https://openalex.org/I128309023";1
"635";"https://openalex.org/I1283220839";3
"636";"https://openalex.org/I12832649";40
"637";"https://openalex.org/I1283339181";3
"638";"https://openalex.org/I12833781";123
"639";"https://openalex.org/I12834331";9
"640";"https://openalex.org/I1283442259";7
"641";"https://openalex.org/I1283521677";1
"642";"https://openalex.org/I1283613182";23
"643";"https://openalex.org/I128365640";2
"644";"https://openalex.org/I1283664872";7
"645";"https://openalex.org/I1284351223";1
"646";"https://openalex.org/I1284465020";7
"647";"https://openalex.org/I1284584826";1
"648";"https://openalex.org/I1284762954";15
"649";"https://openalex.org/I1285402005";4
"650";"https://openalex.org/I128559575";21
"651";"https://openalex.org/I1285782058";14
"652";"https://openalex.org/I128589980";116
"653";"https://openalex.org/I128590013";3
"654";"https://openalex.org/I12859529";19
"655";"https://openalex.org/I1285985921";1
"656";"https://openalex.org/I1286141780";1
"657";"https://openalex.org/I1286329397";11
"658";"https://openalex.org/I128643598";2
"659";"https://openalex.org/I1286858202";3
"660";"https://openalex.org/I12870472";22
"661";"https://openalex.org/I1287223417";1
"662";"https://openalex.org/I1287339526";3
"663";"https://openalex.org/I1287366011";1
"664";"https://openalex.org/I1287642686";2
"665";"https://openalex.org/I1287762061";1
"666";"https://openalex.org/I1288043984";6
"667";"https://openalex.org/I1288051870";4
"668";"https://openalex.org/I1288059949";2
"669";"https://openalex.org/I1288097491";5
"670";"https://openalex.org/I1288323106";4
