University_en;University;University_abbr;List;Anaesthesia, Emergency and Intensive Care;Anthropology;Applied geology, petroleum science and engineering;Archaeology and Conservation;Architecture and Design;Art History;Asian and African Studies;Biology;Biomedicine;Biotechnology;Business and Finance;Cardiovascular and Respiratory Systems;Chemical Engineering;Chemistry;Civil Engineering;Classical Studies;Computer Science and Informatics;Dance;Dentistry;Dermatology and Venerology;Development Studies;Earth sciences;Economics;Education and Educational Research;Electric power engineering;Electronics and cybernetics;Endocrinology;Energy;English Studies;Environmental technology and industrial ecology;Ethnology;Gastroenterology and Hepatology;Gender Studies;General Medicine;General Technology;Geography;Geriatrics;Germanic Studies;Gynecology and Obstetrics;Haematology;History;Industrial engineering and management;Infectious Diseases;Interdisciplinary Humanities;Interdisciplinary Natural Sciences;Interdisciplinary Social Sciences;Interdisciplinary Technology;Law;Library and Information Science;Linguistics ;Literature;Marine Technology;Materials Science and Engineering;Mathematics;Mechanical engineering;Media and Communication;Musicology;Nephrology;Neurology;Nursing;Nutrition;Oncology;Ophthalmology;Otorhinolaryngology;Pediatrics;Pharmacology and Toxicology;Philosophy and History of Ideas;Physics;Political Science;Psychiatry;Psychology;Public, Environmental and Occupational Health;Radiology, Nuclear Medicine and Medical Imaging;Rheumatology;Romance Studies;Scandinavian Studies;Slavonic Studies;Social Work;Sociology;Sport Sciences;Surgical Sciences;Theatre and Drama;Theology and religion;Veterinary Medicine
Pirogov Russian National Research Medical University;Российский национальный исследовательский медицинский университет имени Н. И. Пирогова;РНИМУ им.Пирогова;NPI1;4;1;0;0;0;0;0;235;433;15;3;194;14;182;0;0;2;0;9;11;0;4;0;7;0;8;45;0;0;5;1;3;0;295;7;0;9;0;113;13;9;0;30;1;61;3;1;1;1;3;0;0;41;3;3;0;0;14;440;0;6;46;0;2;18;188;3;31;1;18;28;88;9;5;0;0;0;10;1;12;43;0;2;2
Yale University;Yale University;Yale University;NPI2;23;9;2;34;8;17;13;852;615;15;67;239;41;393;9;11;137;0;2;74;8;419;258;28;0;77;70;29;16;142;1;62;5;314;29;14;57;1;67;35;48;0;153;8;637;18;22;94;2;43;24;0;157;310;7;8;11;32;356;24;18;209;16;5;68;96;48;1205;144;301;469;449;72;28;5;0;5;3;44;9;94;4;58;5
Tsinghua University;Tsinghua University;Tsinghua University;NPI2;2;0;60;5;16;6;14;484;651;64;220;36;938;1642;639;0;1762;0;4;4;25;1257;109;40;757;1393;7;996;4;485;0;23;2;41;484;46;6;0;6;7;6;20;16;0;929;46;455;6;160;7;2;19;2460;806;369;4;1;3;73;8;7;42;6;0;3;121;14;2053;28;19;55;124;59;6;0;0;0;1;4;0;17;0;0;2
Lomonosov Moscow State University;Московский государственный университет имени М. В. Ломоносова;МГУ им.Ломоносова;NPI2;0;0;8;9;0;1;0;203;137;8;12;15;53;394;6;0;25;0;0;2;0;176;0;4;0;140;3;33;0;7;0;3;0;4;59;7;0;0;2;2;3;0;5;0;114;0;7;0;0;5;1;1;253;145;6;4;0;1;9;0;0;8;0;0;0;36;2;1467;0;1;11;11;9;2;0;0;19;0;0;0;2;0;0;1
Saint Petersburg State University;Санкт-Петербургский государственный университет;СПбГУ;NPI2;0;0;2;10;0;1;1;103;42;3;29;4;29;235;10;2;30;0;0;0;0;118;2;5;0;48;2;16;1;0;0;0;0;0;17;2;0;0;0;1;10;3;1;2;50;1;3;1;4;5;4;0;149;160;4;6;0;1;8;0;0;3;2;0;0;19;4;563;3;4;19;5;0;1;0;0;16;1;3;0;0;0;2;0
Ural Federal University;Уральский федеральный университет имени первого Президента России Б.Н. Ельцина;УрФУ;NPI2;0;0;3;3;0;0;0;11;4;6;16;2;17;94;0;0;7;0;0;0;2;12;3;0;3;18;0;7;0;0;0;0;0;1;4;2;0;0;0;1;3;0;0;0;56;7;8;1;4;0;0;0;160;22;4;0;0;0;4;0;0;0;0;0;0;5;1;244;1;0;9;4;0;0;0;0;3;0;0;0;0;0;1;0
Novosibirsk State University;Новосибирский Государственный Университет;НГУ;NPI2;2;0;6;2;0;0;0;36;32;1;0;1;69;185;4;0;8;0;0;0;0;78;2;0;0;77;0;34;0;2;0;0;0;4;32;0;1;0;0;0;1;0;0;0;25;0;1;0;0;0;0;1;72;63;1;1;0;0;4;0;0;0;0;0;0;5;2;851;0;5;8;0;0;1;0;0;0;0;0;0;1;0;2;0
Kazan Federal University;Казанский (Приволжский) федеральный университет;КФУ;NPI2;0;0;44;2;0;0;0;66;28;0;1;10;25;65;2;0;8;0;0;1;0;65;0;8;0;7;2;75;0;0;0;1;0;3;3;4;0;0;0;3;0;0;0;0;22;0;3;1;2;2;0;0;41;22;1;0;1;0;9;0;0;8;0;0;0;12;0;143;0;1;0;6;1;0;0;0;1;1;0;0;0;0;0;1
Peter the Great St. Petersburg Polytechnic University;Санкт-Петербургский политехнический университет Петра Великого;СПбПУ им.Петра Великого;NPI2;0;0;0;0;0;0;0;16;14;2;0;0;4;18;7;0;17;0;0;0;0;0;0;0;5;21;0;7;0;1;0;0;0;2;3;1;0;0;0;0;1;0;0;0;5;0;4;0;0;0;0;1;35;5;24;0;0;0;2;0;0;1;0;0;0;5;0;406;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0
National Research Nuclear University MEPhI;"Национальный исследовательский ядерный университет ""МИФИ""";НИЯУ МИФИ;NPI2;0;0;2;0;0;0;0;4;1;1;0;0;4;17;0;0;1;0;0;0;0;4;0;0;0;35;0;3;0;0;0;0;0;0;11;0;0;0;0;0;0;0;1;0;17;0;0;0;1;0;0;0;49;6;2;0;0;0;2;0;0;0;0;0;0;7;0;890;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0
